url,idvscore,reviewer,dateP,Rev,cleaned_reviews,topic
https://www.metacritic.com/movie/blades-of-glory,67.0, 'Owen Gleiberman', None," 'Blades of Glory has funny moves even when its characters can barely move, but the film seldom gets past its one basic laugh: that a real man figure-skating is a contradiction in terms.'", blades of glory has funny moves even when its characters can barely move but the film seldom gets past its one basic laugh that a real man figureskating is a contradiction in terms,0.0
https://www.metacritic.com/movie/crazy-heart,75.0, 'James Berardinelli', None, 'Crazy Heart is the country music version of The Wrestler: a grizzled veteran whose days in the spotlight are behind him struggles to keep going while seeing the world through a haze of regret and booze.', crazy heart is the country music version of the wrestler a grizzled veteran whose days in the spotlight are behind him struggles to keep going while seeing the world through a haze of regret and booze,0.0
https://www.metacritic.com/movie/the-maids-room,40.0, 'Ronnie Scheib'," 'Aug 6, 2014'"," 'After a seductively moody intro, Michael Walker s domestic thriller devolves into a cartoonish attack on the filthy rich.'", after a seductively moody intro michael walker s domestic thriller devolves into a cartoonish attack on the filthy rich,0.0
https://www.metacritic.com/movie/sweet-girl,33.0, 'Andrew Crump'," 'Aug 20, 2021'"," 'No one should ask Sweet Girl to be something it isn t, namely an affecting drama about pharmaceutical evils. For one, it s self-serious enough as is. But there s a vast difference between self-seriousness and taking the subject matter seriously.'", no one should ask sweet girl to be something it isn t namely an affecting drama about pharmaceutical evils for one it s selfserious enough as is but there s a vast difference between selfseriousness and taking the subject matter seriously,0.0
https://www.metacritic.com/movie/how-do-you-know,70.0," ""Andrew O'Hehir"""," 'Dec 17, 2010'"," 'In essence, the movie is an ungainly but irresistible romantic-triangle comedy built around Rudd, Reese Witherspoon and Owen Wilson, with Nicholson rambling around its periphery like a demonic bear, part comic relief and part distraction.'", in essence the movie is an ungainly but irresistible romantictriangle comedy built around rudd reese witherspoon and owen wilson with nicholson rambling around its periphery like a demonic bear part comic relief and part distraction,0.0
https://www.metacritic.com/movie/one-lucky-elephant,83.0, 'Eric Kohn'," 'Jun 6, 2011'"," 'Unlike recent activist documentaries about animal cruelty like The Cove, Leeman s narrative doesn t feature any real villains. Balding s bond with Flora leaves him in a perpetual state of uncertainty about which possible new home for his elephant would provide the safest habitat.'", unlike recent activist documentaries about animal cruelty like the cove leeman s narrative doesn t feature any real villains balding s bond with flora leaves him in a perpetual state of uncertainty about which possible new home for his elephant would provide the safest habitat,0.0
https://www.metacritic.com/movie/the-whistleblower,30.0, 'Joe Morgenstern'," 'Aug 4, 2011'"," 'Ms. Weisz is always a strong presence, but her talents are wasted here on a naive heroine - the fictional Kathy is exceedingly slow to grasp the extent of the corruption - and a narrative style that turns the horror of the prostitutes plight into harrowing melodrama.'", ms weisz is always a strong presence but her talents are wasted here on a naive heroine  the fictional kathy is exceedingly slow to grasp the extent of the corruption  and a narrative style that turns the horror of the prostitutes plight into harrowing melodrama,0.0
https://www.metacritic.com/movie/a-night-in-old-mexico,25.0, 'Wes Greene'," 'May 12, 2014'"," 'Red is the kind of lazily written, thankless curmudgeon role that uses the trials of advanced age for cheap laughs rather than harnessing a veteran actor s talent to engage our empathy.'", red is the kind of lazily written thankless curmudgeon role that uses the trials of advanced age for cheap laughs rather than harnessing a veteran actor s talent to engage our empathy,0.0
https://www.metacritic.com/movie/the-twilight-saga-breaking-dawn---part-2,60.0, 'Betsy Sharkey'," 'Nov 15, 2012'"," 'The dialogue remains spotty and sappy, the effects still haven t caught up to modern-day standards, but Twilight s popularity is such that even when it falls short, it doesn t seem to matter.'", the dialogue remains spotty and sappy the effects still haven t caught up to modernday standards but twilight s popularity is such that even when it falls short it doesn t seem to matter,0.0
https://www.metacritic.com/movie/going-clear-scientology-and-the-prison-of-belief,83.0, 'Katie Walsh'," 'Feb 2, 2015'"," 'Ultimately, Gibney s film is fascinating for the people in it. The filmmaking is nothing exceptional, but what is remarkable is the bravery shown by those who speak out in the film.'", ultimately gibney s film is fascinating for the people in it the filmmaking is nothing exceptional but what is remarkable is the bravery shown by those who speak out in the film,0.0
https://www.metacritic.com/movie/october-gale,40.0, None," 'Mar 4, 2015'"," 'This dramatic thriller is a ball of confusion, but with barely any bounce. The one reason to see it: Patricia Clarkson s subtle star turn.'", this dramatic thriller is a ball of confusion but with barely any bounce the one reason to see it patricia clarkson s subtle star turn,0.0
https://www.metacritic.com/movie/ant-man,75.0, 'Peter Travers'," 'Jul 16, 2015'", 'The latest film franchise culled from Marvel s comic-book universe packs a ton of fun into a teeny package. Its low-key charm helps glide us over trouble spots in tone and pacing.', the latest film franchise culled from marvel s comicbook universe packs a ton of fun into a teeny package its lowkey charm helps glide us over trouble spots in tone and pacing,0.0
https://www.metacritic.com/movie/casa-de-mi-padre,50.0, None," 'Mar 16, 2012'"," 'The giddy laughs that ensue, though sometimes inspired, are too few and far between.'", the giddy laughs that ensue though sometimes inspired are too few and far between,0.0
https://www.metacritic.com/movie/im-not-scared,40.0, 'Michael Atkinson', None," 'The upshot is a general fog of two-dimensional characterization, slowly churning plot gearwork, and an ineffective air of forced lyricism.'", the upshot is a general fog of twodimensional characterization slowly churning plot gearwork and an ineffective air of forced lyricism,0.0
https://www.metacritic.com/movie/the-mortuary-collection,67.0, 'Katie Rife'," 'Nov 12, 2020'"," 'The Mortuary Collection recalls everything from Hammer Horror to Sam Raimi at various points throughout the film. It s less successful at actually transcending those influences, although Spindell s devotion is endearing.'", the mortuary collection recalls everything from hammer horror to sam raimi at various points throughout the film it s less successful at actually transcending those influences although spindell s devotion is endearing,0.0
https://www.metacritic.com/movie/wreck-it-ralph,100.0, 'Mary Pols'," 'Nov 1, 2012'"," 'The most inventive and entertaining family movie I ve seen this year, packed with wickedly smart humor and joyful animation.'", the most inventive and entertaining family movie i ve seen this year packed with wickedly smart humor and joyful animation,0.0
https://www.metacritic.com/movie/the-protector,50.0, None, None," 'In truth, only hard-core martial-arts fans will be able to keep from squirming in their seats with boredom through at least some parts of this 82-minute kablammo-fest.'", in truth only hardcore martialarts fans will be able to keep from squirming in their seats with boredom through at least some parts of this 82minute kablammofest,0.0
https://www.metacritic.com/movie/the-dictator,75.0, 'Roger Ebert'," 'May 11, 2012'"," 'The Dictator is funny, in addition to being obscene, disgusting, scatological, vulgar, crude and so on.'", the dictator is funny in addition to being obscene disgusting scatological vulgar crude and so on,0.0
https://www.metacritic.com/movie/the-children-act,70.0, 'Bill Goodykoontz'," 'Sep 27, 2018'"," 'McEwan, as is his wont, aims for something bigger here, the bigger questions the biggest, even, of life and death. Thanks to Thompson s outstanding performance, he mostly achieves what he sets out for.'", mcewan as is his wont aims for something bigger here the bigger questions the biggest even of life and death thanks to thompson s outstanding performance he mostly achieves what he sets out for,0.0
https://www.metacritic.com/movie/paul-blart-mall-cop-2,20.0, 'Bilge Ebiri'," 'Apr 17, 2015'"," 'Nobody was expecting much from Paul Blart: Mall Cop 2, but did it have to be this unimaginative and lifeless?'", nobody was expecting much from paul blart mall cop 2 but did it have to be this unimaginative and lifeless,0.0
https://www.metacritic.com/movie/rosewater,75.0, None," 'Nov 14, 2014'"," 'Lift me like an olive branch and be my homeward dove is a line that could raise the spirit of any political prisoner, and Stewart s message -- that journalists risk their lives in pursuit of the truth every day around the world -- couldn t be timelier or more heartfelt.'", lift me like an olive branch and be my homeward dove is a line that could raise the spirit of any political prisoner and stewart s message  that journalists risk their lives in pursuit of the truth every day around the world  couldn t be timelier or more heartfelt,0.0
https://www.metacritic.com/movie/for-ahkeem,70.0, 'Danny King'," 'Oct 12, 2017'", 'Levine and Van Soest (who are both white) deserve credit for eliding or treating obliquely a number of seemingly obvious narrative beats.', levine and van soest who are both white deserve credit for eliding or treating obliquely a number of seemingly obvious narrative beats,0.0
https://www.metacritic.com/movie/the-orphanage,88.0, 'Lawrence Toppman', None," 'By the end, you ll be chilled and disturbed by what you ve seen -- and, rare as this is in a horror movie, touched to the heart.'", by the end you ll be chilled and disturbed by what you ve seen  and rare as this is in a horror movie touched to the heart,0.0
https://www.metacritic.com/movie/great-directors,75.0, 'Peter Rainer', None," 'Movie actors are notoriously inarticulate about their craft, but what about movie directors? If the documentary Great Dir ectors is any indication, the returns are a bit more promising.'", movie actors are notoriously inarticulate about their craft but what about movie directors if the documentary great dir ectors is any indication the returns are a bit more promising,0.0
https://www.metacritic.com/movie/im-not-there,90.0, None, None," 'Brilliantly strange, often funny and ultimately heartbreaking film.'", brilliantly strange often funny and ultimately heartbreaking film,0.0
https://www.metacritic.com/movie/man-of-steel,75.0, 'James Berardinelli'," 'Jun 13, 2013'"," 'Man of Steel is, first and foremost, a great spectacle.'", man of steel is first and foremost a great spectacle,0.0
https://www.metacritic.com/movie/a-day-without-a-mexican,25.0, None, None, 'Doesn t know what it wants to be: either a goofball satire or a heavy-handed social-message movie.', doesn t know what it wants to be either a goofball satire or a heavyhanded socialmessage movie,0.0
https://www.metacritic.com/movie/birth,60.0, 'David Denby', None," 'This movie, taken all together, is one of the most bizarre combinations of distinguished talent and inane ideas that I ve ever seen.'", this movie taken all together is one of the most bizarre combinations of distinguished talent and inane ideas that i ve ever seen,0.0
https://www.metacritic.com/movie/man-on-the-train,90.0, 'Desson Thomson', None," 'Piquant, thoroughly engaging character drama.'", piquant thoroughly engaging character drama,0.0
https://www.metacritic.com/movie/skinwalkers,40.0, 'Joe Leydon', None, 'Plays more like 70s drive-in fare than a monster mash of recent vintage.', plays more like 70s drivein fare than a monster mash of recent vintage,0.0
https://www.metacritic.com/movie/collateral,80.0, 'Desson Thomson', None," 'If Collateral is all formula, it s polished to a fine sheen.'", if collateral is all formula it s polished to a fine sheen,0.0
https://www.metacritic.com/movie/summer-of-84,70.0, 'Alan Scherstuhl'," 'Aug 7, 2018'"," 'If you re patient, though, and not put off by the familiarity of this material, Summer of 84 gains in interest and urgency as it goes.'", if you re patient though and not put off by the familiarity of this material summer of 84 gains in interest and urgency as it goes,0.0
https://www.metacritic.com/movie/home-of-the-brave,38.0, 'Lou Lumenick', None, 'The apolitical and well-meaning Home of the Brave is predictable and maudlin.', the apolitical and wellmeaning home of the brave is predictable and maudlin,0.0
https://www.metacritic.com/movie/the-operator,63.0, 'Lou Lumenick', None, 'The performances are so solid - and newcomer Jon Dichter s direction (he also wrote the script) is so utterly assured - that the rather contrived ending barely seems to detract from the film s entertainment value.', the performances are so solid  and newcomer jon dichter s direction he also wrote the script is so utterly assured  that the rather contrived ending barely seems to detract from the film s entertainment value,0.0
https://www.metacritic.com/movie/mistress-america,80.0, 'Anthony Lane'," 'Aug 17, 2015'"," 'While Woody Allen s recent films have grown ever more hermetic in their perplexity, Baumbach is becoming as prolific, and as quick on the comic draw, as the Allen of yore. Will historians of humor look back on this movie, perhaps, and mark it as the point at which the torch was passed?'", while woody allen s recent films have grown ever more hermetic in their perplexity baumbach is becoming as prolific and as quick on the comic draw as the allen of yore will historians of humor look back on this movie perhaps and mark it as the point at which the torch was passed,0.0
https://www.metacritic.com/movie/big-hero-6,50.0, 'Kyle Smith'," 'Nov 5, 2014'"," 'Big Hero 6 even has a title that sounds like a product ordered off the takeout menu of the type of restaurant that recombines a few elements in many ways. That could work fine, if any of the ingredients were particularly flavorful.'", big hero 6 even has a title that sounds like a product ordered off the takeout menu of the type of restaurant that recombines a few elements in many ways that could work fine if any of the ingredients were particularly flavorful,0.0
